LOTTO GAME	COMBINATIONS	DRAW DATE	JACKPOT	WINNERS
Superlotto 6/49	15-12-39-47-32-11	9/22/2016	51,498,072.00	0
6Digit	9-6-2-6-2-2	9/22/2016	522,759.34	0
Suertres Lotto 11AM	6-2-9	9/22/2016	4,500.00	938
Suertres Lotto 4PM	2-6-6	9/22/2016	4,500.00	974
Suertres Lotto 9PM	2-3-7	9/22/2016	4,500.00	1182
EZ2 Lotto 9PM	14-21	9/22/2016	4,000.00	678
Lotto 6/42	40-31-18-15-14-41	9/22/2016	6,000,000.00	0
EZ2 Lotto 11AM	02-01	9/22/2016	4,000.00	291
EZ2 Lotto 4PM	26-14	9/22/2016	4,000.00	77
Megalotto 6/45	40-31-25-35-33-19	9/21/2016	20,209,216.00	0
4Digit	2-1-3-7	9/21/2016	19,365.00	48
Suertres Lotto 11AM	3-4-2	9/21/2016	4,500.00	301
Suertres Lotto 4PM	6-7-8	9/21/2016	4,500.00	203
Suertres Lotto 9PM	0-7-2	9/21/2016	4,500.00	337
EZ2 Lotto 9PM	26-15	9/21/2016	4,000.00	230
EZ2 Lotto 11AM	31-20	9/21/2016	4,000.00	87
EZ2 Lotto 4PM	12-28	9/21/2016	4,000.00	255
Grand Lotto 6/55	42-19-45-03-41-49	9/21/2016	30,000,000.00	0
Superlotto 6/49	13-08-07-46-31-43	9/20/2016	47,546,144.00	0
6Digit	4-4-0-6-9-4	9/20/2016	381,736.28	0
Suertres Lotto 11AM	8-3-4	9/20/2016	4,500.00	715
Suertres Lotto 4PM	8-3-9	9/20/2016	4,500.00	296
Suertres Lotto 9PM	4-7-1	9/20/2016	4,500.00	998
EZ2 Lotto 9PM	29-28	9/20/2016	4,000.00	227
Lotto 6/42	14-15-36-10-05-04	9/20/2016	6,000,000.00	0
EZ2 Lotto 11AM	15-29	9/20/2016	4,000.00	144
EZ2 Lotto 4PM	26-12	9/20/2016	4,000.00	229
Megalotto 6/45	10-03-22-27-41-30	9/19/2016	17,056,020.00	0
4Digit	6-0-9-2	9/19/2016	53,359.00	17
Suertres Lotto 11AM	7-9-3	9/19/2016	4,500.00	719
Suertres Lotto 4PM	8-9-7	9/19/2016	4,500.00	681
Suertres Lotto 9PM	1-8-0	9/19/2016	4,500.00	819
EZ2 Lotto 9PM	07-02	9/19/2016	4,000.00	619
EZ2 Lotto 11AM	18-14	9/19/2016	4,000.00	152
EZ2 Lotto 4PM	25-21	9/19/2016	4,000.00	60
Grand Lotto 6/55	47-31-43-39-23-26	9/19/2016	30,000,000.00	0
Superlotto 6/49	22-06-37-05-23-45	9/18/2016	43,864,256.00	0
Suertres Lotto 11AM	3-9-8	9/18/2016	4,500.00	267
Suertres Lotto 4PM	5-8-2	9/18/2016	4,500.00	495
Suertres Lotto 9PM	4-3-2	9/18/2016	4,500.00	770
EZ2 Lotto 9PM	22-15	9/18/2016	4,000.00	304
EZ2 Lotto 11AM	25-01	9/18/2016	4,000.00	158
EZ2 Lotto 4PM	05-08	9/18/2016	4,000.00	234
Ultra Lotto 6/58	13-51-12-02-06-36	9/18/2016	50,000,000.00	0
6Digit	0-3-1-6-6-1	9/17/2016	150,000.00	0
Suertres Lotto 11AM	5-2-1	9/17/2016	4,500.00	647
Suertres Lotto 4PM	1-6-7	9/17/2016	4,500.00	625
Suertres Lotto 9PM	5-1-8	9/17/2016	4,500.00	775
EZ2 Lotto 9PM	27-09	9/17/2016	4,000.00	614
Lotto 6/42	10-31-32-19-25-14	9/17/2016	31,272,756.00	1
EZ2 Lotto 11AM	27-02	9/17/2016	4,000.00	88
EZ2 Lotto 4PM	22-30	9/17/2016	4,000.00	179
Grand Lotto 6/55	24-53-33-17-51-22	9/17/2016	30,000,000.00	0
Megalotto 6/45	25-24-06-13-14-05	9/16/2016	14,024,572.00	0
4Digit	7-2-3-8	9/16/2016	42,867.00	21
Suertres Lotto 11AM	5-1-8	9/16/2016	4,500.00	1118
Suertres Lotto 4PM	0-0-2	9/16/2016	4,500.00	218
Suertres Lotto 9PM	3-7-1	9/16/2016	4,500.00	798
EZ2 Lotto 9PM	24-26	9/16/2016	4,000.00	296
EZ2 Lotto 11AM	13-13	9/16/2016	4,000.00	291
EZ2 Lotto 4PM	03-01	9/16/2016	4,000.00	234
Ultra Lotto 6/58	23-41-13-46-43-58	9/16/2016	50,000,000.00	0
Superlotto 6/49	31-21-02-25-15-19	9/15/2016	40,112,948.00	0
6Digit	2-6-5-4-6-2	9/15/2016	4,888,088.00	1
Suertres Lotto 11AM	8-0-9	9/15/2016	4,500.00	596
Suertres Lotto 4PM	1-7-0	9/15/2016	4,500.00	339
Suertres Lotto 9PM	7-4-0	9/15/2016	4,500.00	874
EZ2 Lotto 9PM	24-09	9/15/2016	4,000.00	684
Lotto 6/42	33-07-38-02-42-18	9/15/2016	27,711,864.00	0
EZ2 Lotto 11AM	03-20	9/15/2016	4,000.00	216
EZ2 Lotto 4PM	04-06	9/15/2016	4,000.00	236
Megalotto 6/45	31-07-33-35-24-13	9/14/2016	10,991,456.00	0
4Digit	9-7-5-6	9/14/2016	34,910.00	24
Suertres Lotto 11AM	4-7-7	9/14/2016	4,500.00	440
Suertres Lotto 4PM	9-8-2	9/14/2016	4,500.00	310
Suertres Lotto 9PM	4-1-5	9/14/2016	4,500.00	1284
EZ2 Lotto 9PM	14-29	9/14/2016	4,000.00	285
EZ2 Lotto 11AM	01-01	9/14/2016	4,000.00	292
EZ2 Lotto 4PM	17-05	9/14/2016	4,000.00	141
Grand Lotto 6/55	16-31-41-19-09-08	9/14/2016	61,337,184.00	1
Superlotto 6/49	38-25-46-32-29-41	9/13/2016	36,830,736.00	0
6Digit	9-9-7-6-2-5	9/13/2016	4,838,088.68	0
Suertres Lotto 11AM	7-3-3	9/13/2016	4,500.00	203
Suertres Lotto 4PM	4-8-0	9/13/2016	4,500.00	628
Suertres Lotto 9PM	7-2-9	9/13/2016	4,500.00	728
EZ2 Lotto 9PM	04-17	9/13/2016	4,000.00	710
Lotto 6/42	38-17-34-37-09-16	9/13/2016	24,683,652.00	0
EZ2 Lotto 11AM	14-29	9/13/2016	4,000.00	225
EZ2 Lotto 4PM	12-04	9/13/2016	4,000.00	156
Megalotto 6/45	22-32-10-23-38-43	9/12/2016	9,000,000.00	0
4Digit	4-6-0-2	9/12/2016	18,518.00	43
Suertres Lotto 11AM	5-9-9	9/12/2016	4,500.00	394
Suertres Lotto 4PM	7-5-7	9/12/2016	4,500.00	510
Suertres Lotto 9PM	9-7-1	9/12/2016	4,500.00	1078
EZ2 Lotto 9PM	26-13	9/12/2016	4,000.00	321
EZ2 Lotto 11AM	13-18	9/12/2016	4,000.00	235
EZ2 Lotto 4PM	17-11	9/12/2016	4,000.00	84
Grand Lotto 6/55	27-03-44-33-39-19	9/12/2016	57,779,508.00	0
Superlotto 6/49	38-03-30-04-09-49	9/11/2016	33,696,272.00	0
Suertres Lotto 11AM	7-4-2	9/11/2016	4,500.00	700
Suertres Lotto 4PM	2-8-3	9/11/2016	4,500.00	473
Suertres Lotto 9PM	6-3-2	9/11/2016	4,500.00	914
EZ2 Lotto 9PM	29-18	9/11/2016	4,000.00	420
EZ2 Lotto 11AM	12-28	9/11/2016	4,000.00	240
EZ2 Lotto 4PM	8-7	9/11/2016	4,000.00	152
Ultra Lotto 6/58	11-15-20-08-49-37	9/11/2016	50,000,000.00	0
6Digit	1-7-7-9-1-3	9/10/2016	4,552,413.92	0
Suertres Lotto 11AM	0-0-9	9/10/2016	4,500.00	439
Suertres Lotto 4PM	1-9-1	9/10/2016	4,500.00	1126
Suertres Lotto 9PM	4-3-5	9/10/2016	4,500.00	437
EZ2 Lotto 9PM	02-23	9/10/2016	4,000.00	231
Lotto 6/42	08-23-35-25-33-34	9/10/2016	21,574,832.00	0
EZ2 Lotto 11AM	20-30	9/10/2016	4,000.00	250
EZ2 Lotto 4PM	29-21	9/10/2016	4,000.00	76
Grand Lotto 6/55	47-19-55-23-38-06	9/10/2016	54,479,468.00	0
Megalotto 6/45	22-29-36-38-27-30	9/9/2016	9,000,000.00	0
4Digit	7-8-2-1	9/9/2016	26,504.00	23
Suertres Lotto 11AM	7-8-0	9/9/2016	4,500.00	233
Suertres Lotto 4PM	8-9-4	9/9/2016	4,500.00	379
Suertres Lotto 9PM	1-2-7	9/9/2016	4,500.00	1116
EZ2 Lotto 9PM	14-26	9/9/2016	4,000.00	685
EZ2 Lotto 11AM	25-19	9/9/2016	4,000.00	107
EZ2 Lotto 4PM	27-29	9/9/2016	4,000.00	177
Ultra Lotto 6/58	29-27-34-47-04-12	9/9/2016	50,000,000.00	0
Superlotto 6/49	47-28-05-18-42-02	9/8/2016	30,288,248.00	0
6Digit	4-0-8-4-1-8	9/8/2016	4,502,413.92	0
Suertres Lotto 11AM	2-3-2	9/8/2016	4,500.00	947
Suertres Lotto 4PM	0-1-7	9/8/2016	4,500.00	232
Suertres Lotto 9PM	3-4-4	9/8/2016	4,500.00	995
EZ2 Lotto 9PM	13-13	9/8/2016	4,000.00	718
Lotto 6/42	22-04-02-26-31-20	9/8/2016	18,515,892.00	0
EZ2 Lotto 11AM	30-15	9/8/2016	4,000.00	95
EZ2 Lotto 4PM	29-21	9/8/2016	4,000.00	36
Megalotto 6/45	35-43-22-07-02-17	9/7/2016	9,000,000.00	0
4Digit	1-9-7-9	9/7/2016	10,000.00	150
Suertres Lotto 11AM	7-6-8	9/7/2016	4,500.00	289
Suertres Lotto 4PM	4-8-4	9/7/2016	4,500.00	577
Suertres Lotto 9PM	6-5-7	9/7/2016	4,500.00	453
EZ2 Lotto 9PM	16-20	9/7/2016	4,000.00	380
EZ2 Lotto 11AM	11-22	9/7/2016	4,000.00	169
EZ2 Lotto 4PM	04-03	9/7/2016	4,000.00	252
Grand Lotto 6/55	24-36-29-49-22-53	9/7/2016	50,987,564.00	0
Superlotto 6/49	13-10-31-45-16-01	9/6/2016	27,110,280.00	0
6Digit	4-6-9-0-5-4	9/6/2016	4,055,275.14	0
Suertres Lotto 11AM	3-5-5	9/6/2016	4,500.00	462
Suertres Lotto 4PM	7-9-7	9/6/2016	4,500.00	219
Suertres Lotto 9PM	1-7-0	9/6/2016	4,500.00	1326
EZ2 Lotto 9PM	30-21	9/6/2016	4,000.00	267
Lotto 6/42	41-40-04-17-19-25	9/6/2016	15,776,364.00	0
EZ2 Lotto 11AM	18-24	9/6/2016	4,000.00	232
EZ2 Lotto 4PM	28-12	9/6/2016	4,000.00	121
Megalotto 6/45	17-12-05-11-25-31	9/5/2016	55,449,604.00	1
4Digit	0-6-1-6	9/5/2016	10,456.00	50
Suertres Lotto 11AM	6-9-3	9/5/2016	4,500.00	219
Suertres Lotto 4PM	3-2-1	9/5/2016	4,500.00	904
Suertres Lotto 9PM	5-2-0	9/5/2016	4,500.00	1004
EZ2 Lotto 9PM	02-23	9/5/2016	4,000.00	527
EZ2 Lotto 11AM	18-20	9/5/2016	4,000.00	203
EZ2 Lotto 4PM	22-11	9/5/2016	4,000.00	130
Grand Lotto 6/55	06-17-05-54-45-29	9/5/2016	47,672,140.00	0
Superlotto 6/49	04-17-01-22-45-27	9/4/2016	23,987,704.00	0
Suertres Lotto 11AM	2-4-5	9/4/2016	4,500.00	710
Suertres Lotto 4PM	0-2-2	9/4/2016	4,500.00	360
Suertres Lotto 9PM	3-3-7	9/4/2016	4,500.00	641
EZ2 Lotto 9PM	18-05	9/4/2016	4,000.00	494
EZ2 Lotto 11AM	01-05	9/4/2016	4,000.00	243
EZ2 Lotto 4PM	10-08	9/4/2016	4,000.00	213
Ultra Lotto 6/58	13-47-26-28-01-48	9/4/2016	50,000,000.00	0
6Digit	6-0-4-5-1-3	9/3/2016	3,625,950.46	0
Suertres Lotto 11AM	9-2-5	9/3/2016	4,500.00	938
Suertres Lotto 4PM	1-1-9	9/3/2016	4,500.00	925
Suertres Lotto 9PM	3-7-1	9/3/2016	4,500.00	1181
EZ2 Lotto 9PM	08-27	9/3/2016	4,000.00	671
Lotto 6/42	17-06-13-21-22-16	9/3/2016	12,946,356.00	0
EZ2 Lotto 11AM	15-07	9/3/2016	4,000.00	196
EZ2 Lotto 4PM	13-22	9/3/2016	4,000.00	240
Grand Lotto 6/55	33-23-12-41-35-01	9/3/2016	44,979,608.00	0
Megalotto 6/45	43-23-36-35-19-22	9/2/2016	50,884,392.00	0
4Digit	8-5-2-0	9/2/2016	58,620.00	10
Suertres Lotto 11AM	6-0-0	9/2/2016	4,500.00	972
Suertres Lotto 4PM	2-7-5	9/2/2016	4,500.00	282
Suertres Lotto 9PM	7-0-3	9/2/2016	4,500.00	1099
EZ2 Lotto 9PM	06-07	9/2/2016	4,000.00	619
EZ2 Lotto 11AM	29-20	9/2/2016	4,000.00	97
EZ2 Lotto 4PM	13-05	9/2/2016	4,000.00	186
Ultra Lotto 6/58	48-34-36-16-27-35	9/2/2016	50,000,000.00	0
Superlotto 6/49	23-40-25-05-21-04	9/1/2016	20,835,700.00	0
6Digit	0-4-7-0-4-4	9/1/2016	3,333,648.26	0
Suertres Lotto 11AM	9-7-7	9/1/2016	4,500.00	592
Suertres Lotto 4PM	0-6-7	9/1/2016	4,500.00	186
Suertres Lotto 9PM	0-4-6	9/1/2016	4,500.00	297
EZ2 Lotto 9PM	07-20	9/1/2016	4,000.00	470
Lotto 6/42	13-23-29-30-17-34	9/1/2016	10,169,960.00	0
EZ2 Lotto 11AM	16-26	9/1/2016	4,000.00	225
EZ2 Lotto 4PM	19-05	9/1/2016	4,000.00	145
Megalotto 6/45	26-22-44-09-42-29	8/31/2016	46,412,616.00	0
4Digit	9-3-5-4	8/31/2016	60,377.00	14
Suertres Lotto 11AM	4-1-7	8/31/2016	4,500.00	892
Suertres Lotto 4PM	8-1-7	8/31/2016	4,500.00	918
Suertres Lotto 9PM	7-2-9	8/31/2016	4,500.00	1284
EZ2 Lotto 9PM	07-11	8/31/2016	4,000.00	976
EZ2 Lotto 11AM	08-05	8/31/2016	4,000.00	211
EZ2 Lotto 4PM	31-15	8/31/2016	4,000.00	82
Grand Lotto 6/55	43-12-35-48-07-28	8/31/2016	41,636,880.00	0
Superlotto 6/49	47-27-03-37-12-16	8/30/2016	17,638,884.00	0
6Digit	0-3-5-0-0-5	8/30/2016	3,182,245.86	0
Suertres Lotto 11AM	3-2-3	8/30/2016	4,500.00	830
Suertres Lotto 4PM	0-3-2	8/30/2016	4,500.00	1072
Suertres Lotto 9PM	6-2-6	8/30/2016	4,500.00	771
EZ2 Lotto 9PM	06-11	8/30/2016	4,000.00	594
Lotto 6/42	19-08-15-26-32-36	8/30/2016	7,656,700.00	0
EZ2 Lotto 11AM	13-10	8/30/2016	4,000.00	207
EZ2 Lotto 4PM	02-28	8/30/2016	4,000.00	225
Megalotto 6/45	42-04-30-26-27-37	8/29/2016	42,570,008.00	0
4Digit	3-5-7-7	8/29/2016	88,992.00	8
Suertres Lotto 11AM	8-2-9	8/29/2016	4,500.00	1117
Suertres Lotto 4PM	1-7-6	8/29/2016	4,500.00	443
Suertres Lotto 9PM	1-8-6	8/29/2016	4,500.00	883
EZ2 Lotto 9PM	25-31	8/29/2016	4,000.00	141
EZ2 Lotto 11AM	12-28	8/29/2016	4,000.00	238
EZ2 Lotto 4PM	07-07	8/29/2016	4,000.00	306
Grand Lotto 6/55	11-14-37-44-20-38	8/29/2016	39,145,428.00	0
Superlotto 6/49	36-48-04-11-44-47	8/28/2016	16,000,000.00	0
Suertres Lotto 11AM	9-9-1	8/28/2016	4,500.00	293
Suertres Lotto 4PM	2-0-6	8/28/2016	4,500.00	503
Suertres Lotto 9PM	7-6-5	8/28/2016	4,500.00	379
EZ2 Lotto 9PM	27-15	8/28/2016	4,000.00	139
EZ2 Lotto 11AM	29-21	8/28/2016	4,000.00	73
EZ2 Lotto 4PM	01-10	8/28/2016	4,000.00	181
Ultra Lotto 6/58	20-12-02-03-15-22	8/28/2016	50,000,000.00	1
6Digit	2-8-2-4-0-9	8/27/2016	2,838,655.30	0
Suertres Lotto 11AM	5-7-4	8/27/2016	4,500.00	381
Suertres Lotto 4PM	6-9-8	8/27/2016	4,500.00	395
Suertres Lotto 9PM	1-8-0	8/27/2016	4,500.00	901
EZ2 Lotto 9PM	27-30	8/27/2016	4,000.00	390
Lotto 6/42	37-20-03-41-13-17	8/27/2016	6,000,000.00	0
EZ2 Lotto 11AM	31-22	8/27/2016	4,000.00	171
EZ2 Lotto 4PM	06-26	8/27/2016	4,000.00	181
Grand Lotto 6/55	47-16-42-22-43-50	8/27/2016	36,645,048.00	0
Megalotto 6/45	21-08-23-34-02-28	8/26/2016	38,702,216.00	0
4Digit	4-5-1-5	8/26/2016	24,665.00	22
Suertres Lotto 11AM	8-6-7	8/26/2016	4,500.00	357
Suertres Lotto 4PM	1-4-2	8/26/2016	4,500.00	504
Suertres Lotto 9PM	7-7-9	8/26/2016	4,500.00	459
EZ2 Lotto 9PM	21-10	8/26/2016	4,000.00	253
EZ2 Lotto 11AM	18-26	8/26/2016	4,000.00	248
EZ2 Lotto 4PM	31-04	8/26/2016	4,000.00	46
Ultra Lotto 6/58	38-37-57-22-30-53	8/26/2016	50,000,000.00	0
Superlotto 6/49	48-21-47-34-43-49	8/25/2016	16,000,000.00	0
6Digit	8-6-8-8-1-4	8/25/2016	2,788,655.30	0
Suertres Lotto 11AM	6-0-5	8/25/2016	4,500.00	592
Suertres Lotto 4PM	5-5-6	8/25/2016	4,500.00	734
Suertres Lotto 9PM	2-7-8	8/25/2016	4,500.00	754
EZ2 Lotto 9PM	18-27	8/25/2016	4,000.00	647
Lotto 6/42	40-39-11-16-32-35	8/25/2016	6,000,000.00	0
EZ2 Lotto 11AM	07-07	8/25/2016	4,000.00	577
EZ2 Lotto 4PM	23-22	8/25/2016	4,000.00	93
Megalotto 6/45	12-07-09-02-15-25	8/24/2016	34,983,996.00	0
4Digit	0-6-1-1	8/24/2016	14,275.00	39
Suertres Lotto 11AM	0-2-0	8/24/2016	4,500.00	487
Suertres Lotto 4PM	8-0-3	8/24/2016	4,500.00	660
Suertres Lotto 9PM	4-6-9	8/24/2016	4,500.00	604
EZ2 Lotto 9PM	25-24	8/24/2016	4,000.00	210
EZ2 Lotto 11AM	04-26	8/24/2016	4,000.00	202
EZ2 Lotto 4PM	26-03	8/24/2016	4,000.00	106
Grand Lotto 6/55	45-20-13-26-02-43	8/24/2016	33,410,476.00	0
Superlotto 6/49	02-01-24-07-38-03	8/23/2016	16,000,000.00	0
6Digit	7-5-7-2-3-5	8/23/2016	2,493,063.48	0
Suertres Lotto 11AM	5-5-2	8/23/2016	4,500.00	1122
Suertres Lotto 4PM	2-8-1	8/23/2016	4,500.00	532
Suertres Lotto 9PM	5-5-3	8/23/2016	4,500.00	858
EZ2 Lotto 9PM	17-14	8/23/2016	4,000.00	224
Lotto 6/42	33-34-02-30-37-20	8/23/2016	22,617,156.00	1
EZ2 Lotto 11AM	10-22	8/23/2016	4,000.00	250
EZ2 Lotto 4PM	01-10	8/23/2016	4,000.00	286
Megalotto 6/45	04-25-15-37-28-02	8/22/2016	31,261,056.00	0
4Digit	9-4-7-8	8/22/2016	67,523.00	13
Suertres Lotto 11AM	0-6-4	8/22/2016	4,500.00	246
Suertres Lotto 4PM	9-1-1	8/22/2016	4,500.00	915
Suertres Lotto 9PM	5-2-2	8/22/2016	4,500.00	979
EZ2 Lotto 9PM	31-25	8/22/2016	4,000.00	127
EZ2 Lotto 11AM	21-29	8/22/2016	4,000.00	197
EZ2 Lotto 4PM	11-04	8/22/2016	4,000.00	245
Grand Lotto 6/55	55-37-08-15-27-47	8/22/2016	30,793,400.00	0
Superlotto 6/49	13-06-40-41-05-16	8/21/2016	16,000,000.00	0
Suertres Lotto 11AM	9-3-2	8/21/2016	4,500.00	426
Suertres Lotto 4PM	5-1-2	8/21/2016	4,500.00	626
Suertres Lotto 9PM	0-3-5	8/21/2016	4,500.00	463
EZ2 Lotto 9PM	22-08	8/21/2016	4,000.00	867
EZ2 Lotto 11AM	12-01	8/21/2016	4,000.00	184
EZ2 Lotto 4PM	08-21	8/21/2016	4,000.00	663
Ultra Lotto 6/58	24-10-42-30-25-13	8/21/2016	50,000,000.00	0
6Digit	2-2-9-9-3-7	8/20/2016	2,286,916.76	0
Suertres Lotto 11AM	4-7-4	8/20/2016	4,500.00	495
Suertres Lotto 4PM	8-7-5	8/20/2016	4,500.00	527
Suertres Lotto 9PM	0-1-3	8/20/2016	4,500.00	479
EZ2 Lotto 9PM	28-14	8/20/2016	4,000.00	201
Lotto 6/42	31-01-32-06-12-07	8/20/2016	19,115,448.00	0
EZ2 Lotto 11AM	26-06	8/20/2016	4,000.00	173
EZ2 Lotto 4PM	06-14	8/20/2016	4,000.00	245
Grand Lotto 6/55	46-32-20-04-26-51	8/20/2016	30,000,000.00	0
Megalotto 6/45	22-25-19-31-43-30	8/19/2016	27,619,528.00	0
4Digit	7-5-0-5	8/19/2016	38,188.00	21
Suertres Lotto 11AM	1-1-4	8/19/2016	4,500.00	586
Suertres Lotto 4PM	6-8-2	8/19/2016	4,500.00	232
Suertres Lotto 9PM	8-8-1	8/19/2016	4,500.00	1230
EZ2 Lotto 9PM	08-11	8/19/2016	4,000.00	709
EZ2 Lotto 11AM	11-12	8/19/2016	4,000.00	88
EZ2 Lotto 4PM	01-29	8/19/2016	4,000.00	178
Ultra Lotto 6/58	07-38-40-31-53-30	8/19/2016	50,000,000.00	0
Superlotto 6/49	18-12-40-36-43-20	8/18/2016	16,000,000.00	0
6Digit	3-9-8-6-3-4	8/18/2016	2,067,641.40	0
Suertres Lotto 11AM	5-6-2	8/18/2016	4,500.00	317
Suertres Lotto 4PM	7-4-9	8/18/2016	4,500.00	288
Suertres Lotto 9PM	7-2-6	8/18/2016	4,500.00	1107
EZ2 Lotto 9PM	13-27	8/18/2016	4,000.00	608
Lotto 6/42	40-03-37-19-14-01	8/18/2016	16,209,776.00	0
EZ2 Lotto 11AM	01-15	8/18/2016	4,000.00	257
EZ2 Lotto 4PM	28-28	8/18/2016	4,000.00	208
Megalotto 6/45	31-08-43-11-13-29	8/17/2016	24,122,272.00	0
4Digit	6-7-1-0	8/17/2016	23,241.00	14
Suertres Lotto 11AM	2-4-0	8/17/2016	4,500.00	298
Suertres Lotto 4PM	4-0-5	8/17/2016	4,500.00	1119
Suertres Lotto 9PM	5-1-1	8/17/2016	4,500.00	1299
EZ2 Lotto 9PM	18-10	8/17/2016	4,000.00	498
EZ2 Lotto 11AM	31-08	8/17/2016	4,000.00	170
EZ2 Lotto 4PM	21-26	8/17/2016	4,000.00	148
Grand Lotto 6/55	55-16-02-11-50-32	8/17/2016	30,000,000.00	0
Superlotto 6/49	14-11-29-22-05-09	8/16/2016	82,316,564.00	1
6Digit	7-4-5-5-7-3	8/16/2016	1,712,296.88	0
Suertres Lotto 11AM	9-3-8	8/16/2016	4,500.00	603
Suertres Lotto 4PM	7-8-4	8/16/2016	4,500.00	407
Suertres Lotto 9PM	2-7-8	8/16/2016	4,500.00	848
EZ2 Lotto 9PM	20-19	8/16/2016	4,000.00	107
Lotto 6/42	34-18-35-41-21-33	8/16/2016	13,203,928.00	0
EZ2 Lotto 11AM	25-09	8/16/2016	4,000.00	233
EZ2 Lotto 4PM	25-07	8/16/2016	4,000.00	263
Megalotto 6/45	05-36-09-39-25-42	8/15/2016	20,746,616.00	0
4Digit	8-4-5-0	8/15/2016	34,265.00	22
Suertres Lotto 11AM	2-9-5	8/15/2016	4,500.00	520
Suertres Lotto 4PM	2-7-5	8/15/2016	4,500.00	523
Suertres Lotto 9PM	9-8-9	8/15/2016	4,500.00	535
EZ2 Lotto 9PM	10-21	8/15/2016	4,000.00	601
EZ2 Lotto 11AM	07-08	8/15/2016	4,000.00	111
EZ2 Lotto 4PM	11-12	8/15/2016	4,000.00	141
Grand Lotto 6/55	25-04-48-28-20-23	8/15/2016	30,000,000.00	0
Superlotto 6/49	40-07-45-23-01-28	8/14/2016	77,584,524.00	0
Suertres Lotto 11AM	9-7-4	8/14/2016	4,500.00	225
Suertres Lotto 4PM	4-3-5	8/14/2016	4,500.00	592
Suertres Lotto 9PM	5-2-0	8/14/2016	4,500.00	951
EZ2 Lotto 9PM	07-08	8/14/2016	4,000.00	581
EZ2 Lotto 11AM	23-14	8/14/2016	4,000.00	200
EZ2 Lotto 4PM	20-14	8/14/2016	4,000.00	205
Ultra Lotto 6/58	05-54-48-17-01-39	8/14/2016	50,000,000.00	0
6Digit	7-5-5-2-5-2	8/13/2016	1,336,911.92	0
Suertres Lotto 11AM	6-5-9	8/13/2016	4,500.00	478
Suertres Lotto 4PM	9-5-9	8/13/2016	4,500.00	956
Suertres Lotto 9PM	5-5-8	8/13/2016	4,500.00	761
EZ2 Lotto 9PM	14-17	8/13/2016	4,000.00	359
Lotto 6/42	28-26-14-03-15-05	8/13/2016	10,611,424.00	0
EZ2 Lotto 11AM	21-05	8/13/2016	4,000.00	115
EZ2 Lotto 4PM	16-10	8/13/2016	4,000.00	200
Grand Lotto 6/55	01-51-06-31-10-48	8/13/2016	30,000,000.00	0
Megalotto 6/45	39-25-16-17-05-27	8/12/2016	17,634,084.00	0
4Digit	4-8-3-8	8/12/2016	93,465.00	8
Suertres Lotto 11AM	2-1-2	8/12/2016	4,500.00	1119
Suertres Lotto 4PM	7-3-5	8/12/2016	4,500.00	279
Suertres Lotto 9PM	6-3-9	8/12/2016	4,500.00	471
EZ2 Lotto 9PM	23-15	8/12/2016	4,000.00	126
EZ2 Lotto 11AM	22-24	8/12/2016	4,000.00	86
EZ2 Lotto 4PM	09-01	8/12/2016	4,000.00	224
Ultra Lotto 6/58	50-19-25-15-51-14	8/12/2016	50,000,000.00	0
Superlotto 6/49	17-25-21-36-41-16	8/11/2016	72,629,456.00	0
6Digit	1-6-5-0-7-7	8/11/2016	1,086,323.82	0
Suertres Lotto 11AM	4-1-6	8/11/2016	4,500.00	535
Suertres Lotto 4PM	1-9-8	8/11/2016	4,500.00	532
Suertres Lotto 9PM	1-2-8	8/11/2016	4,500.00	1239
EZ2 Lotto 9PM	08-20	8/11/2016	4,000.00	740
Lotto 6/42	08-23-28-27-07-09	8/11/2016	7,983,104.00	0
EZ2 Lotto 11AM	01-17	8/11/2016	4,000.00	155
EZ2 Lotto 4PM	23-02	8/11/2016	4,000.00	53
Megalotto 6/45	30-07-39-34-20-23	8/10/2016	14,723,888.00	0
4Digit	7-4-4-1	8/10/2016	29,815.00	27
Suertres Lotto 11AM	7-9-7	8/10/2016	4,500.00	418
Suertres Lotto 4PM	5-1-7	8/10/2016	4,500.00	921
Suertres Lotto 9PM	2-2-2	8/10/2016	4,500.00	1146
EZ2 Lotto 9PM	13-06	8/10/2016	4,000.00	247
EZ2 Lotto 11AM	06-25	8/10/2016	4,000.00	191
EZ2 Lotto 4PM	11-17	8/10/2016	4,000.00	234
Grand Lotto 6/55	41-25-08-11-29-34	8/10/2016	30,000,000.00	0
Superlotto 6/49	24-04-48-07-15-23	8/9/2016	67,878,324.00	0
6Digit	4-3-5-3-7-1	8/9/2016	795,635.90	0
Suertres Lotto 11AM	3-6-9	8/9/2016	4,500.00	648
Suertres Lotto 4PM	7-8-9	8/9/2016	4,500.00	505
Suertres Lotto 9PM	7-0-8	8/9/2016	4,500.00	1254
EZ2 Lotto 9PM	28-14	8/9/2016	4,000.00	237
Lotto 6/42	15-37-12-02-40-14	8/9/2016	6,000,000.00	0
EZ2 Lotto 11AM	04-02	8/9/2016	4,000.00	237
EZ2 Lotto 4PM	20-20	8/9/2016	4,000.00	217
Megalotto 6/45	31-15-35-16-11-09	8/8/2016	11,722,696.00	0
4Digit	8-9-3-3	8/8/2016	26,719.00	30
Suertres Lotto 11AM	7-4-6	8/8/2016	4,500.00	246
