Date;Players;Cash;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6;P-R7;W-R7;P-R8;W-R8;P-R9;W-R9;P-R10;W-R10;P-R11;W-R11;P-R12;W-R12;P-R13;W-R13
13-07-2018;670948;5105275,0000;0;17000000,0000;0;623200,7000;0;58060,2000;6;4733,1000;59;168,6000;97;150,0000;122;50,3000;1426;26,7000;2436;15,5000;6699;10,8000;7338;14,4000;37589;8,7000;96050;4,0000
10-07-2018;451825;3380380,0000;0;65538512,0000;0;850110,8000;1;66000,1000;1;4842,4000;46;166,0000;61;118,3000;100;56,6000;1054;20,9000;1766;14,4000;4156;11,9000;5817;11,1000;27348;7,9000;62103;4,3000
06-07-2018;639425;5020362,5000;0;0,0000;0;549967,9000;0;51237,5000;1;3132,7000;61;192,8000;128;127,5000;108;70,2000;1748;23,0000;2755;16,6000;6361;13,1000;9152;11,8000;38207;9,1000;88070;4,6000
03-07-2018;420944;3049342,5000;0;0,0000;0;257596,0000;1;44997,7000;0;1956,4000;23;146,5000;87;74,1000;70;55,7000;1539;13,4000;1828;12,4000;3766;12,2000;8195;7,2000;26559;7,0000;52720;4,5000
29-06-2018;607149;4687200,0000;0;0,0000;0;1015108,3000;2;23643,0000;1;5028,0000;37;208,3000;78;167,8000;148;60,7000;1252;29,3000;2165;16,5000;5407;12,2000;6680;15,5000;32453;8,9000;83409;4,3000
26-06-2018;407904;2899872,5000;0;0,0000;0;0,0000;0;431632,7000;0;4198,3000;26;222,1000;96;101,6000;67;75,4000;1279;16,3000;1340;16,0000;2929;14,3000;7622;7,9000;22203;8,0000;46463;4,8000
22-06-2018;591882;4513037,5000;0;0,0000;2;474167,8000;0;220878,1000;3;2572,3000;40;195,3000;146;84,2000;98;64,7000;2517;15,4000;2146;15,4000;4926;13,4000;14404;7,6000;34216;8,5000;73270;4,8000
19-06-2018;429618;3078470,0000;0;36158964,0000;0;246455,5000;0;24600,9000;4;2276,5000;59;142,6000;163;75,9000;154;47,3000;1923;14,7000;2115;13,3000;4607;11,2000;9718;7,9000;28646;7,5000;60672;4,2000
15-06-2018;607199;4640125,0000;0;0,0000;2;337478,9000;0;78602,6000;2;4805,8000;57;211,7000;101;144,5000;138;63,1000;1385;27,2000;2168;19,0000;6152;11,8000;7282;14,2000;29982;10,3000;90483;4,2000
12-06-2018;410661;2891017,5000;0;0,0000;1;142783,8000;0;33255,9000;1;2033,3000;49;151,9000;70;87,3000;89;49,9000;1270;16,6000;2037;12,6000;4716;10,4000;6174;9,2000;26338;7,3000;59620;4,1000
08-06-2018;609745;4630245,0000;0;17000000,0000;0;520450,0000;0;26937,4000;7;1943,9000;69;176,1000;219;79,3000;163;62,5000;2908;14,6000;2833;15,4000;5834;13,7000;15623;7,4000;37700;8,3000;78791;4,9000
