Date;Players;Cash;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6;P-R7;W-R7;P-R8;W-R8;P-R9;W-R9;P-R10;W-R10;P-R11;W-R11;P-R12;W-R12;P-R13;W-R13
12-04-2016;469080;3126950,0000;0;65001096,0000;1;290662,7000;0;32295,8000;3;5237,1000;81;169,3000;177;72,9000;119;63,9000;1652;21,7000;2855;13,0000;6219;9,3000;8528;12,0000;35488;8,0000;78918;3,5000
08-04-2016;691034;4806512,0000;0;0,0000;0;777680,2000;0;74064,7000;1;5082,8000;61;250,9000;109;125,0000;140;76,0000;2299;23,1000;3087;16,6000;6732;13,4000;12235;12,4000;44994;8,8000;103110;4,1000
05-04-2016;440207;2818512,0000;0;0,0000;0;265011,4000;0;35334,8000;3;2236,3000;91;115,9000;112;77,6000;220;35,0000;2736;12,9000;3310;9,6000;5157;9,9000;13513;7,8000;39203;6,3000;64876;3,8000
01-04-2016;661320;4494410,0000;0;0,0000;0;289093,3000;0;160607,3000;2;3885,6000;52;211,8000;131;107,9000;180;61,4000;2673;18,0000;3309;14,4000;6582;12,3000;14157;9,5000;48122;7,9000;97187;4,1000
29-03-2016;384576;2421174,0000;0;0,0000;0;308454,7000;0;51409,1000;3;6426,1000;52;211,5000;111;90,9000;81;79,2000;1031;25,2000;1822;14,6000;3952;11,2000;5585;13,4000;25379;8,1000;55478;3,8000
25-03-2016;623704;4185678,0000;0;0,0000;0;450425,3000;0;75070,8000;1;3464,8000;77;209,4000;134;118,8000;281;48,6000;4106;14,2000;3452;15,1000;5990;13,6000;20560;7,6000;50673;8,0000;85311;4,4000
22-03-2016;382482;2354478,0000;0;0,0000;0;927462,0000;0;38644,2000;3;3864,4000;59;210,0000;95;112,7000;130;44,8000;2030;13,6000;1789;14,3000;3127;13,1000;11363;7,3000;27229;7,7000;46854;4,3000
18-03-2016;714965;4985414,0000;0;59687034,0000;0;388021,8000;2;51736,2000;5;4172,2000;72;215,9000;159;100,6000;206;69,6000;2749;21,8000;3662;14,1000;7312;11,5000;15505;11,6000;55100;7,8000;111820;3,8000
15-03-2016;457811;2954012,0000;0;0,0000;0;538801,5000;0;39911,2000;0;5282,3000;47;228,4000;82;103,5000;124;66,0000;1746;20,8000;2298;14,0000;4815;10,8000;8462;11,7000;35169;7,7000;73240;3,6000
11-03-2016;677970;4612258,0000;0;0,0000;0;503809,5000;0;100761,9000;2;6629,0000;51;269,7000;116;136,9000;140;70,2000;2496;20,0000;2585;17,2000;5386;14,7000;14294;9,9000;43925;8,7000;88084;4,5000
08-03-2016;431600;2714332,0000;0;0,0000;1;149414,4000;0;58105,6000;2;2811,5000;72;119,0000;140;72,8000;151;40,0000;1928;14,8000;2962;9,8000;5411;9,7000;8901;9,2000;35638;6,6000;68854;3,6000
04-03-2016;654908;4413428,0000;0;0,0000;0;379008,8000;0;168448,3000;7;3609,6000;67;179,4000;162;93,1000;176;54,0000;2843;17,9000;3715;12,8000;6992;11,3000;14811;9,9000;52622;7,4000;98484;3,9000
01-03-2016;401175;2486728,0000;0;0,0000;0;252849,7000;0;37459,2000;1;4435,9000;58;159,9000;234;52,6000;107;68,7000;1380;22,6000;2155;14,3000;7308;7,7000;6468;12,8000;25412;8,8000;78961;3,0000
26-02-2016;646164;4329414,0000;0;15000000,0000;1;364156,3000;0;26974,5000;3;5277,6000;80;159,3000;186;69,7000;168;61,8000;2108;21,8000;3614;12,8000;8173;9,6000;10434;12,6000;47845;7,8000;109414;3,5000
23-02-2016;430887;2724508,0000;0;31340088,0000;0;1026062,9000;0;57003,4000;1;4886,0000;30;286,6000;107;104,4000;109;78,8000;1501;22,5000;1793;18,8000;4481;12,3000;7785;11,8000;26206;9,7000;66528;4,0000
19-02-2016;658878;4436846,0000;0;0,0000;0;1424950,2000;0;94996,6000;3;3958,1000;63;242,4000;140;127,4000;217;51,7000;3399;14,8000;3574;15,0000;6632;13,2000;18074;7,8000;52590;7,6000;96720;4,2000
16-02-2016;411856;2553356,0000;0;0,0000;1;323686,1000;1;40460,7000;0;4149,8000;49;217,1000;114;96,4000;87;73,0000;1296;22,6000;1815;15,2000;4121;11,7000;6713;12,3000;26756;8,3000;61063;3,8000
12-02-2016;690650;4688788,0000;0;32002496,0000;0;760400,4000;1;33795,5000;4;3673,4000;75;206,8000;134;117,0000;270;53,9000;3731;16,4000;3626;14,3000;6174;13,3000;21238;8,3000;54123;7,7000;92936;4,3000
09-02-2016;428528;2707362,0000;0;0,0000;0;514786,7000;3;21449,4000;3;3730,3000;78;140,7000;133;79,3000;131;49,2000;1855;17,1000;3031;10,8000;5246;10,2000;8341;10,2000;38813;6,6000;66000;3,7000
05-02-2016;684316;4611654,0000;0;0,0000;0;778378,2000;1;64864,8000;4;4324,3000;56;255,9000;110;136,5000;147;67,4000;2625;19,4000;2667;16,7000;5135;14,5000;16358;9,4000;43975;8,9000;86065;4,5000
02-02-2016;444102;2804602,0000;0;15000000,0000;0;224091,3000;0;53355,0000;4;3011,9000;73;165,5000;92;94,8000;139;40,6000;2180;14,0000;2568;11,6000;4333;11,1000;10757;8,4000;33268;7,1000;61666;3,8000
29-01-2016;958021;7445656,0000;0;66188316,0000;0;408293,6000;1;163317,4000;8;4209,2000;142;187,4000;268;109,5000;332;54,3000;4678;17,2000;6492;12,9000;12439;11,8000;23304;9,7000;88444;7,3000;176775;4,0000
26-01-2016;635485;4770986,0000;0;0,0000;0;0,0000;2;139344,6000;4;5806,0000;54;254,2000;121;120,9000;174;72,0000;2923;20,1000;3332;16,1000;6110;13,8000;16031;10,2000;49610;8,5000;94696;4,4000
22-01-2016;863908;6532272,0000;0;0,0000;1;259148,9000;0;53158,7000;6;4065,0000;121;176,2000;216;91,5000;224;64,1000;3658;20,2000;5496;12,5000;9939;11,2000;18278;11,3000;80257;7,1000;144969;3,9000
19-01-2016;560936;3966672,0000;0;0,0000;0;685000,7000;0;50740,7000;2;6342,5000;46;284,6000;90;147,8000;153;64,2000;2518;17,9000;2466;17,6000;4966;15,1000;15501;8,4000;38478;9,1000;72241;4,9000
15-01-2016;750044;5444302,0000;0;0,0000;0;458316,4000;0;67898,7000;3;5178,7000;80;293,1000;153;122,7000;148;82,3000;2422;24,5000;3001;18,8000;7501;13,4000;13866;12,1000;47588;9,8000;119103;4,1000
12-01-2016;501141;3407036,0000;0;0,0000;0;0,0000;0;833543,7000;3;4433,7000;55;220,2000;77;116,2000;144;59,4000;1956;19,2000;2691;13,2000;4937;12,3000;10261;10,6000;38087;7,7000;72592;4,1000
08-01-2016;742875;5252272,0000;0;0,0000;0;0,0000;0;382841,8000;2;5317,2000;60;237,0000;131;124,6000;201;54,9000;3495;16,8000;3585;15,3000;6379;13,9000;20455;8,6000;54737;8,1000;100446;4,4000
05-01-2016;471829;3109572,0000;0;0,0000;0;585428,0000;0;195142,6000;3;3902,8000;32;274,5000;83;130,5000;127;63,7000;1572;21,6000;1935;17,2000;3984;13,8000;7651;12,6000;29621;8,9000;63119;4,3000
01-01-2016;673890;4724718,0000;0;0,0000;2;243807,3000;0;48761,4000;4;4780,5000;45;247,7000;131;120,5000;252;55,2000;3284;16,8000;3222;16,5000;7315;12,8000;17783;8,3000;50428;8,7000;98217;4,7000
29-12-2015;469210;3033376,0000;0;0,0000;1;279268,8000;0;37235,8000;2;6005,7000;29;290,9000;78;144,2000;103;77,3000;1468;22,0000;1821;16,7000;3704;15,0000;8546;10,7000;30736;8,3000;59678;4,5000
25-12-2015;588901;4049062,0000;0;0,0000;2;212036,9000;0;70678,9000;7;2631,6000;88;145,0000;190;85,2000;235;40,0000;3339;13,6000;3819;11,6000;6247;11,2000;16439;8,0000;49975;7,0000;88002;3,9000
22-12-2015;434358;2757706,0000;0;0,0000;0;221867,1000;0;61629,7000;2;5964,1000;30;259,2000;67;134,5000;77;85,0000;1192;24,1000;1681;17,6000;3557;14,3000;6298;12,2000;26284;8,8000;56414;4,3000
18-12-2015;778596;5625414,0000;0;83228800,0000;1;457291,0000;0;67746,8000;4;4550,1000;64;207,4000;151;118,9000;199;60,0000;3357;18,6000;4290;13,5000;7261;13,4000;17002;10,2000;65252;7,3000;111717;4,3000
15-12-2015;492368;3350256,0000;0;0,0000;1;419210,1000;1;32246,9000;1;4192,1000;66;156,6000;156;62,0000;137;65,3000;1715;22,9000;2685;12,5000;6458;9,0000;8788;12,9000;36330;7,8000;85564;3,4000
11-12-2015;735260;5182044,0000;0;0,0000;0;841042,8000;1;56069,5000;2;7008,6000;70;250,0000;141;107,6000;161;77,1000;2099;24,7000;3161;16,6000;7713;11,9000;11381;13,1000;49614;8,8000;119630;3,8000
08-12-2015;466885;3066162,0000;0;0,0000;0;153645,2000;2;59750,9000;1;4979,2000;65;203,4000;132;92,7000;108;72,2000;1488;23,3000;2534;15,0000;5668;11,4000;7864;12,5000;33108;8,4000;75284;3,8000
04-12-2015;736850;5068956,0000;0;0,0000;1;322433,9000;1;44782,4000;5;2770,0000;164;145,4000;414;64,6000;267;49,8000;3352;16,4000;5389;11,7000;11751;9,7000;15902;9,8000;65601;7,0000;132145;3,7000
01-12-2015;451486;2875570,0000;0;0,0000;1;137599,8000;2;24462,2000;8;2184,1000;171;53,8000;311;22,4000;115;71,7000;1245;23,9000;1821;15,7000;3956;11,8000;7332;12,4000;25720;9,1000;57428;4,1000
27-11-2015;676904;4582246,0000;0;0,0000;0;279492,3000;0;139746,1000;2;5480,2000;71;230,9000;151;124,9000;182;66,8000;2703;19,7000;3452;16,2000;6465;14,1000;14076;10,1000;49846;8,4000;93889;4,4000
24-11-2015;403844;2552258,0000;0;0,0000;0;360953,0000;3;32813,9000;1;6223,3000;28;236,0000;134;74,6000;89;73,9000;1191;24,5000;1565;17,0000;5123;9,0000;6514;13,1000;22972;9,4000;70165;3,2000
20-11-2015;1079094;8679828,0000;0;163553041,0000;0;355600,1000;2;118533,3000;3;5782,1000;96;273,4000;188;137,4000;249;75,6000;3962;23,1000;5229;17,0000;9958;15,2000;23602;11,2000;85422;8,6000;157911;4,8000
17-11-2015;738087;5828128,0000;0;0,0000;0;1028955,2000;2;76218,9000;1;6351,5000;74;257,1000;214;108,7000;188;73,5000;3217;22,8000;3823;17,0000;11225;11,1000;16311;12,1000;58166;9,2000;155401;3,6000
13-11-2015;1154588;8909274,0000;0;0,0000;1;566130,1000;3;52419,4000;13;2859,2000;162;192,5000;315;98,2000;601;45,0000;8163;14,4000;7346;13,8000;14139;11,9000;41322;7,9000;103784;7,7000;197238;4,0000
10-11-2015;704711;5475528,0000;0;0,0000;1;449898,3000;0;66651,6000;7;4614,3000;100;201,7000;157;105,6000;353;46,6000;5063;15,2000;4289;14,4000;8144;12,2000;25274;8,2000;63801;7,9000;122932;4,0000
06-11-2015;1112114;9360282,0000;0;0,0000;0;328233,5000;2;58352,6000;10;4420,6000;147;205,8000;350;88,9000;271;73,0000;4331;23,4000;6386;15,6000;14870;11,6000;22858;12,6000;95738;8,7000;213678;3,9000
03-11-2015;449163;2927810,0000;0;0,0000;0;374555,4000;1;93638,8000;7;4355,2000;54;233,0000;118;120,0000;137;61,6000;1862;19,3000;2093;16,5000;4227;13,6000;10308;9,5000;29749;8,8000;58863;4,4000
30-10-2015;717715;4979506,0000;0;0,0000;0;192934,8000;1;46772,0000;5;3572,8000;129;121,0000;247;62,8000;246;51,4000;2934;18,2000;5305;9,9000;9516;9,9000;14748;10,4000;66998;6,4000;121091;3,7000
27-10-2015;421246;2675640,0000;0;0,0000;0;0,0000;2;147157,1000;7;3850,0000;48;197,8000;92;105,6000;121;52,7000;1736;16,7000;2067;13,6000;3955;11,8000;8549;9,3000;30313;7,5000;59169;3,9000
23-10-2015;641144;4341862,0000;0;0,0000;0;467506,1000;0;66786,5000;15;3246,5000;77;237,2000;155;111,2000;345;48,4000;4289;15,4000;3528;14,9000;6561;12,4000;21485;7,9000;50754;7,9000;96361;4,1000
20-10-2015;395742;2466798,0000;0;0,0000;0;471021,7000;0;22429,6000;1;5607,4000;38;200,5000;89;91,9000;79;65,1000;1232;22,1000;1840;14,2000;3756;10,7000;6636;12,3000;25857;8,2000;57183;3,7000
16-10-2015;626394;4197254,0000;0;0,0000;0;672570,7000;0;448380,5000;1;5337,8000;59;268,7000;145;119,2000;146;72,0000;2131;22,7000;3094;16,2000;7292;12,7000;11001;11,9000;45644;8,5000;103703;4,0000
13-10-2015;422818;2681726,0000;0;15439214,0000;0;973754,6000;0;36064,9000;0;4636,9000;31;185,1000;84;87,6000;68;76,0000;1143;24,7000;1907;14,1000;4016;11,0000;6285;13,3000;27529;8,1000;58571;3,8000
09-10-2015;641595;4314868,0000;0;0,0000;0;1408009,2000;1;78222,7000;2;7822,2000;39;326,4000;87;151,8000;124;89,8000;1610;27,7000;2162;21,2000;4303;17,1000;9459;13,6000;35186;10,6000;76061;5,1000
06-10-2015;395412;2439460,0000;0;0,0000;0;309701,6000;1;30970,1000;2;5339,6000;47;193,5000;66;90,1000;107;58,4000;1469;19,0000;1977;13,4000;3998;10,6000;7701;10,5000;27719;7,7000;56230;3,7000
02-10-2015;640582;4291208,0000;0;15000000,0000;2;104310,1000;0;34770,0000;6;4270,0000;106;163,0000;208;70,8000;158;69,1000;1883;23,3000;3993;13,2000;8976;9,5000;10517;12,9000;47833;8,2000;105187;3,7000
29-09-2015;396566;2455528,0000;0;15000000,0000;0;198039,5000;0;36673,9000;0;2292,1000;61;160,0000;99;80,8000;123;43,1000;1856;14,4000;1920;12,4000;3580;11,2000;9325;8,0000;28405;7,3000;51861;4,0000
25-09-2015;676102;4680074,0000;0;47772431,0000;0;388048,7000;0;86233,0000;8;2811,9000;96;194,8000;223;98,8000;366;42,9000;4978;14,1000;4459;13,1000;8484;11,1000;23738;7,9000;60451;7,3000;112895;3,8000
22-09-2015;417410;2667704,0000;0;0,0000;0;331822,5000;1;25524,8000;2;4608,6000;47;160,0000;108;79,3000;92;55,3000;1198;21,7000;2199;12,5000;4784;10,2000;6320;12,1000;30135;7,4000;64315;3,7000
18-09-2015;661752;4508808,0000;0;0,0000;0;704194,7000;1;78243,8000;0;6344,0000;62;244,8000;97;145,4000;164;67,7000;2541;20,7000;3664;14,4000;6144;14,1000;12687;10,9000;59125;7,2000;96414;4,4000
15-09-2015;415638;2613002,0000;0;0,0000;0;159968,7000;1;39992,1000;5;3554,8000;39;205,5000;61;122,1000;210;38,4000;2570;12,3000;2345;13,2000;3546;12,9000;13046;6,9000;32613;7,2000;54373;4,2000
11-09-2015;623772;4191670,0000;0;0,0000;1;190674,5000;0;111226,8000;10;3133,1000;94;200,0000;163;101,2000;211;48,1000;3114;15,9000;3521;13,7000;7116;11,4000;15341;9,3000;48528;7,6000;101264;3,8000
08-09-2015;417443;2646264,0000;0;30904640,0000;0;328474,6000;0;82118,6000;2;5474,5000;31;269,1000;57;126,1000;79;78,2000;1264;23,5000;1545;18,2000;3424;14,6000;6828;11,9000;24693;9,4000;53489;4,5000
04-09-2015;660597;4484084,0000;0;0,0000;0;466757,2000;0;51861,9000;1;5186,1000;66;233,3000;109;112,8000;144;74,5000;2030;24,3000;3030;15,4000;6582;11,9000;11063;12,8000;46234;8,4000;101224;3,9000
01-09-2015;393268;2448582,0000;0;0,0000;1;303314,4000;0;75828,6000;2;3990,9000;38;180,2000;89;90,9000;97;54,8000;1525;17,7000;1836;13,1000;4156;10,5000;8017;10,0000;27008;7,6000;56228;3,7000
28-08-2015;603636;4072260,0000;1;15000000,0000;1;353872,6000;0;157276,7000;16;3521,1000;47;245,1000;89;132,7000;167;50,3000;2730;15,3000;2698;14,8000;5080;13,5000;15479;8,1000;42585;7,8000;80039;4,3000
25-08-2015;398095;2528160,0000;0;30507122,0000;0;489052,3000;1;163017,4000;2;5094,2000;31;268,6000;91;133,5000;114;63,5000;2188;17,5000;1914;16,0000;3563;14,4000;11609;8,5000;29328;8,2000;51447;4,5000
21-08-2015;605611;4095224,0000;0;0,0000;0;224660,6000;1;56165,1000;1;5479,5000;46;258,3000;125;118,9000;110;84,8000;1699;25,5000;2404;18,4000;5609;13,6000;9997;13,0000;36820;9,5000;87998;4,2000
18-08-2015;361728;2250896,0000;0;0,0000;0;226425,6000;1;25158,4000;5;2067,8000;76;107,3000;157;53,8000;138;35,7000;2060;13,5000;2883;8,8000;5014;7,8000;9134;8,8000;34667;5,9000;62011;3,2000
14-08-2015;645258;4416678,0000;0;40297743,0000;1;206760,3000;1;68920,1000;3;5243,9000;60;270,2000;110;133,0000;175;55,7000;3917;13,1000;2979;15,6000;5288;14,1000;20955;7,1000;54189;7,5000;90319;4,3000
11-08-2015;399237;2532848,0000;0;0,0000;2;163964,5000;1;36436,5000;2;4554,5000;39;191,8000;128;71,4000;90;77,6000;1189;24,4000;1890;13,4000;4867;9,4000;6208;13,5000;25666;8,1000;63152;3,4000
07-08-2015;601438;4089608,0000;0;0,0000;0;1363551,0000;0;64931,0000;4;6684,0000;61;258,9000;107;117,0000;98;83,6000;1820;25,7000;2420;17,0000;5762;12,0000;9896;13,6000;38172;8,8000;92799;3,8000
04-08-2015;373938;2335032,0000;0;0,0000;0;458091,3000;0;43627,7000;0;6940,7000;26;230,7000;47;122,6000;59;79,6000;1017;25,5000;1254;16,1000;2804;13,3000;5250;13,9000;21958;8,7000;46250;4,2000
31-07-2015;603582;4107278,0000;0;24939216,0000;0;372720,5000;0;49696,0000;8;3944,1000;60;239,4000;84;131,5000;126;66,1000;2438;19,8000;2367;16,6000;4683;14,4000;12967;10,0000;39838;8,6000;76978;4,5000
28-07-2015;368229;2315204,0000;0;0,0000;0;306673,6000;1;43810,5000;1;5476,3000;43;222,5000;70;134,8000;68;76,9000;1143;23,6000;1897;15,6000;3259;14,9000;5983;11,9000;26309;8,3000;44597;4,9000
24-07-2015;612595;4216954,0000;0;40468528,0000;0;182139,7000;2;34693,2000;3;5059,4000;64;215,5000;138;99,9000;163;64,2000;2081;21,8000;2716;15,6000;5754;12,6000;11184;11,9000;41042;8,6000;84861;4,1000
21-07-2015;317514;2005296,0000;0;0,0000;0;0,0000;0;217974,0000;0;8604,2000;29;212,5000;95;95,8000;65;69,1000;876;22,4000;1482;13,7000;3279;11,3000;4379;12,4000;21605;7,8000;47683;3,9000
17-07-2015;612305;4166658,0000;0;0,0000;0;460759,2000;0;153586,4000;3;5759,4000;55;231,7000;103;133,7000;146;65,6000;2294;18,3000;2512;16,7000;4818;15,1000;14347;8,8000;43486;8,2000;81345;4,6000
14-07-2015;385113;2418400,0000;0;0,0000;0;303065,5000;0;75766,3000;1;3294,1000;46;233,8000;79;120,6000;77;65,6000;1393;20,3000;1711;15,8000;3452;12,9000;7359;10,8000;25922;8,4000;53391;4,1000
10-07-2015;681989;4747696,0000;0;40998254,0000;0;496041,0000;1;49604,1000;5;4769,6000;94;175,0000;137;107,5000;172;54,2000;2401;19,5000;4215;11,1000;6671;12,3000;13803;10,5000;54829;7,0000;92132;4,2000
07-07-2015;424470;2731656,0000;0;0,0000;0;333957,5000;2;33395,7000;3;6679,1000;54;222,7000;123;96,0000;80;69,9000;1390;22,2000;2073;15,1000;4703;11,7000;7090;11,7000;29865;8,1000;66408;3,8000
03-07-2015;630881;4326278,0000;0;0,0000;0;1409742,2000;1;58739,2000;2;4195,6000;68;207,8000;158;106,0000;216;45,5000;3404;13,8000;3345;12,9000;6384;11,6000;17365;7,7000;53099;6,9000;98223;3,8000
30-06-2015;394791;2485308,0000;0;0,0000;1;234718,8000;0;78239,6000;3;4741,7000;45;204,9000;57;101,0000;77;66,5000;1419;20,7000;1894;14,8000;3861;11,8000;7578;10,8000;27499;8,2000;55323;4,0000
26-06-2015;661234;4536674,0000;0;25263266,0000;1;81025,7000;1;27008,5000;6;1688,0000;137;99,8000;259;58,5000;346;27,7000;4347;10,9000;4971;9,2000;8748;9,1000;21241;6,6000;63956;6,2000;106317;3,7000
23-06-2015;404930;2549536,0000;0;0,0000;2;118789,9000;1;39596,6000;3;4949,5000;49;205,0000;90;99,7000;100;61,4000;1483;19,2000;1922;14,9000;4026;12,4000;7596;10,1000;27122;8,2000;56900;4,1000
19-06-2015;696356;4787718,0000;0;24835107,0000;0;122938,8000;0;40979,6000;7;2762,6000;116;154,5000;193;89,7000;227;44,7000;3613;15,2000;4345;12,6000;7978;11,2000;18241;8,4000;58301;7,4000;107901;4,0000
16-06-2015;426759;2719662,0000;0;0,0000;1;1007623,0000;0;167937,1000;3;4798,2000;29;259,6000;82;129,3000;103;64,4000;1708;17,3000;1812;16,9000;3368;14,5000;9381;8,6000;27912;8,1000;55601;4,3000
12-06-2015;997558;8005014,0000;0;129204405,0000;0;319955,4000;1;85321,4000;14;3496,7000;130;172,9000;342;82,2000;416;47,2000;5287;15,8000;7137;12,1000;13914;10,5000;26232;8,9000;98084;6,9000;187242;3,8000
09-06-2015;677661;5331992,0000;0;0,0000;0;910508,5000;1;50583,8000;6;3570,6000;124;185,7000;227;90,5000;234;53,9000;3475;17,9000;4728;13,2000;9135;11,0000;17150;9,9000;64506;7,6000;129129;3,8000
05-06-2015;1144952;9681956,0000;0;0,0000;0;293926,5000;2;88177,9000;4;6680,1000;103;275,1000;239;131,4000;366;60,8000;5914;18,9000;6118;16,7000;12976;13,4000;32879;9,9000;98269;8,5000;213151;4,1000
02-06-2015;432328;2741606,0000;0;0,0000;1;510830,8000;1;68110,7000;3;4602,0000;66;203,2000;118;90,9000;118;68,8000;1620;20,8000;2458;14,9000;5153;11,3000;8324;11,0000;31636;8,2000;66514;3,9000
29-05-2015;695108;4771410,0000;0;0,0000;1;499345,3000;2;62418,1000;0;8609,4000;46;286,6000;101;141,6000;154;71,9000;2436;20,5000;2740;17,4000;5495;14,7000;14512;10,1000;46687;8,5000;91167;4,4000
26-05-2015;395426;2554830,0000;0;37682171,0000;1;327012,2000;0;54502,0000;5;1513,9000;44;127,1000;100;79,9000;191;33,7000;1955;14,7000;2817;9,6000;4436;10,0000;8045;10,1000;36528;5,9000;61282;3,6000
22-05-2015;662070;4529794,0000;0;0,0000;0;723961,1000;0;80440,1000;4;6522,1000;79;236,9000;134;127,0000;145;80,6000;2397;22,9000;2809;16,7000;5479;13,9000;13083;12,1000;46265;8,5000;91517;4,3000
19-05-2015;407134;2581922,0000;0;0,0000;1;243341,6000;0;54075,9000;2;7373,9000;29;300,7000;61;146,9000;71;92,9000;1095;26,7000;1462;20,1000;2978;15,8000;6475;13,2000;23326;9,7000;49377;4,5000
15-05-2015;588105;4003322,0000;0;0,0000;0;1349968,9000;0;112497,4000;0;6249,8000;46;284,9000;71;142,8000;118;75,7000;1753;24,4000;2353;17,0000;4560;15,2000;10017;12,3000;40762;8,6000;73591;4,7000
12-05-2015;440054;2891264,0000;0;47879234,0000;0;180585,5000;0;120390,3000;3;5016,2000;42;287,2000;83;137,2000;130;57,0000;1557;19,0000;1681;17,1000;3422;14,6000;9080;9,5000;27653;8,6000;53513;4,6000
08-05-2015;685413;4733706,0000;0;0,0000;0;495553,7000;1;35396,6000;1;5506,1000;63;218,9000;127;100,0000;135;72,6000;2208;22,0000;3342;15,0000;7705;11,5000;11984;12,0000;51221;8,1000;114128;3,8000
05-05-2015;428592;2740814,0000;0;0,0000;0;0,0000;0;339051,6000;0;5297,6000;68;182,6000;98;96,9000;120;68,3000;1533;21,1000;2442;13,1000;4542;11,2000;7702;11,6000;32966;7,4000;61882;3,9000
01-05-2015;556946;3810756,0000;0;0,0000;1;192079,3000;1;29879,0000;1;10671,0000;59;217,3000;144;86,9000;112;76,7000;1749;24,1000;2535;15,0000;6488;10,4000;9191;12,8000;37346;8,4000;91431;3,6000
28-04-2015;399583;2505448,0000;0;0,0000;0;241021,8000;0;107120,8000;1;6695,0000;37;269,8000;76;126,5000;82;76,6000;1054;24,8000;1618;16,5000;3359;13,4000;5411;12,9000;24487;8,6000;51766;4,3000
24-04-2015;686335;4784750,0000;0;50731331,0000;1;437844,5000;0;38919,5000;5;4292,5000;94;205,1000;176;97,5000;174;65,7000;2322;21,5000;3443;14,6000;7433;11,6000;12391;11,6000;50074;8,2000;108275;3,9000
21-04-2015;419547;2696120,0000;0;0,0000;1;223508,6000;0;62085,7000;0;5173,8000;35;235,8000;92;104,5000;88;71,8000;1396;21,0000;1935;15,8000;4103;12,5000;7957;11,1000;28256;8,4000;57960;4,1000
17-04-2015;666463;4572988,0000;0;0,0000;1;495368,1000;0;165122,7000;5;7076,6000;51;292,4000;99;134,3000;125;88,9000;1964;26,3000;2483;18,0000;5500;14,0000;10698;13,5000;43004;9,2000;95426;4,2000
14-04-2015;413168;2621246,0000;0;0,0000;0;502336,9000;0;111630,4000;2;5773,9000;38;291,8000;66;131,4000;101;76,0000;1261;25,4000;1701;18,0000;3715;14,3000;6433;12,8000;25793;9,5000;51473;4,6000
10-04-2015;632824;4279892,0000;0;0,0000;0;712500,6000;0;158333,4000;4;3492,6000;72;232,7000;84;137,4000;218;51,0000;3928;14,3000;3379;14,1000;6017;13,3000;20103;7,6000;53135;7,3000;90254;4,2000
07-04-2015;377158;2402216,0000;0;21449918,0000;0;483743,7000;1;40311,9000;3;3224,9000;46;163,4000;88;110,2000;156;44,4000;2233;14,2000;2047;13,7000;3159;13,5000;11826;7,4000;28852;7,8000;47598;4,5000
03-04-2015;679804;4622650,0000;0;0,0000;1;178696,8000;3;28030,8000;2;4862,4000;110;189,6000;212;97,8000;228;66,8000;3058;20,8000;4212;15,3000;8057;12,6000;14562;10,7000;55438;8,4000;102493;4,4000
31-03-2015;490859;3383168,0000;0;73584056,0000;0;1277754,4000;0;47324,2000;2;4629,5000;72;192,8000;112;107,7000;142;62,1000;1857;20,3000;2994;13,1000;5222;12,4000;9603;11,3000;40920;7,4000;72481;4,2000
27-03-2015;746866;5303814,0000;0;0,0000;0;304007,6000;3;50667,9000;4;7795,0000;70;241,8000;142;131,1000;182;79,8000;2497;25,0000;3310;17,6000;7488;14,4000;12530;13,0000;48762;9,5000;116537;4,4000
24-03-2015;463658;3068774,0000;0;0,0000;0;566578,9000;0;75543,8000;2;4721,4000;60;220,0000;123;101,0000;86;72,9000;1537;22,7000;1898;16,2000;4020;12,8000;7934;12,1000;29955;8,6000;64739;4,1000
20-03-2015;737464;5092342,0000;0;0,0000;3;270942,5000;1;77412,1000;6;5210,4000;65;266,0000;139;118,3000;166;87,7000;2112;27,4000;3067;18,9000;7508;13,2000;10933;14,2000;45636;10,0000;116817;4,2000
17-03-2015;441002;2827738,0000;0;0,0000;0;273703,0000;2;21466,9000;1;4678,6000;61;170,5000;145;71,7000;112;61,5000;1655;20,4000;2532;13,3000;5421;10,1000;8432;11,1000;32842;7,8000;67381;3,8000
13-03-2015;913136;6219360,0000;0;0,0000;1;229022,8000;0;50893,9000;8;3470,0000;129;172,3000;252;82,5000;283;51,8000;3941;17,0000;5252;12,1000;10657;10,3000;18845;9,8000;78164;6,8000;155424;3,5000
10-03-2015;425222;2709760,0000;0;0,0000;0;207423,6000;0;115235,3000;2;4432,1000;54;189,2000;91;98,4000;88;68,1000;1336;22,2000;2068;13,9000;4145;11,4000;7439;12,0000;28919;8,0000;60023;3,8000
06-03-2015;1202949;9859428,0000;0;100000000,0000;0;315070,4000;1;94521,1000;1;5694,0000;140;238,7000;214;129,2000;395;62,9000;6114;18,4000;7093;16,1000;12407;14,0000;36723;8,7000;101637;8,5000;189785;4,5000
03-03-2015;510644;3514030,0000;0;0,0000;2;81741,3000;0;35630,8000;1;2316,0000;100;96,1000;194;62,7000;170;43,5000;2174;17,0000;3875;8,9000;6471;9,0000;10093;10,5000;48942;5,9000;84151;3,5000
